# Circular scene - stat system (docs/circular-design.md 2.6, docs/circular-balance.md).
# base stat   = (base_value + adds) * (1 + muls)                        (vit / int / cor / agi)
# derived     = (base_value + sum(from_x * base stat x) + adds) * (1 + muls)
# then clamped to min..max. adds/muls come from the character (characters.csv) and level-up stat cards.
# Only stat_id is required; empty cells keep the built-in value. Unknown stat_id rows are ignored with a warning.
# Consumed today: attack_size, extra_projectiles, attack_speed, weapon_damage, move_speed, xp_gain, stamina_*, dash_*,
# max_hp/hp_regen/crit_chance/crit_damage/life_steal (player HP + weapon crit roll, CircularCombat).
# The rest (luck, damage_reduction, defense, dot_damage, armor_break, ...) are stored and shown but wait for their
# systems and formulas (contact damage, damage-over-time, ultimate, ...).
stat_id,base_value,min,max,from_vit,from_int,from_cor,from_agi
vit,0,0,999,,,,
int,0,0,999,,,,
cor,0,0,999,,,,
agi,0,0,999,,,,
luck,0,0,100,,,,
attack_size,1.0,0.25,4,,,,
extra_projectiles,0,0,7,,,,
attack_speed,1.0,0.25,4,0,0.005,0,0.005
weapon_damage,1.0,0.1,10,0,0.02,0,0
move_speed,1.0,0.5,3,0,0,0,0.01
max_hp,50,1,9999,6,0,0,0
hp_regen,0,0,100,0.05,0,0,0
damage_reduction,0,0,0.8,0.004,0,0,0
crit_chance,0.05,0,1,,,,
crit_damage,1.5,1,5,,,,
life_steal,0,0,1,,,,
xp_gain,1.0,0.1,10,,,,
stamina_max,100,10,500,0,0,0,2
stamina_regen,1.0,0.1,5,0,0,0,0.01
dash_cost_mul,1.0,0.2,3,0,0,0,-0.005
dash_chain_penalty_mul,1.0,0,3,,,,
dash_cooldown_mul,1.0,0.2,3,,,,
ultimate_charge_mul,1.0,0.1,5,0,0.02,0,0
corruption_power,1.0,0.1,10,0,0,0.03,0
defense,0,0,999,,,,
dot_damage,0,0,999,,,,
armor_break,0,0,999,,,,
